Node,Layer,Core Domain
Sovereignty,Main Concept,Social Sciences & Humanities
Procrustes analysis,Main Concept,Formal Sciences
Religiosity,Main Concept,Social Sciences
Shift-share analysis,Main Concept,Social Sciences
Gracilaria,Main Concept,Life Sciences
Degrowth,Main Concept,Social Sciences
Dirty paper coding,Main Concept,Engineering & Technology
Monopulse radar,Main Concept,Engineering & Technology
Game theory,Main Concept,Social Sciences & Humanities
Photothermal spectroscopy,Main Concept,Engineering & Technology
Mast (botany),Main Concept,Health & Medical Sciences
Cogeneration,Main Concept,Engineering & Technology
Boiler (water heating),Main Concept,Engineering & Technology
Plastic bag,Main Concept,Engineering & Technology
Population growth,Main Concept,Formal Sciences
Antenna Design and Analysis,Core Thematic Domain,Engineering & Technology
CIDI,Main Concept,Social Sciences & Humanities
Critical section,Main Concept,Formal Sciences
Pars plana,Main Concept,Health & Medical Sciences
"Psychoanalysis, Philosophy, and Politics",Core Thematic Domain,Social Sciences & Humanities
Steam distillation,Main Concept,Health & Medical Sciences
Polytrope,Main Concept,Natural Sciences
Subsoil,Main Concept,Engineering & Technology
Stress corrosion cracking,Main Concept,Engineering & Technology
Cosmic neutrino background,Main Concept,Natural Sciences
Sodium azide,Main Concept,Natural Sciences
MECP2,Main Concept,Life Sciences
POU domain,Main Concept,Life Sciences
Platelet-rich fibrin,Main Concept,Health & Medical Sciences
Yellow fluorescent protein,Main Concept,Life Sciences
Neutral buoyancy,Main Concept,Engineering & Technology
Quetiapine,Main Concept,Health & Medical Sciences
Social movement theory,Main Concept,Social Sciences & Humanities
Deception,Main Concept,Social Sciences & Humanities
Gate array,Main Concept,Natural Sciences
Fish Proteins,Main Concept,Life Sciences
Lotus effect,Main Concept,Life Sciences
Nucleic acid detection,Main Concept,Health & Medical Sciences
Explosive eruption,Main Concept,Natural Sciences
Properties of water,Main Concept,Health & Medical Sciences
Vitrinite reflectance,Main Concept,Engineering & Technology
Dynamical mean field theory,Main Concept,Engineering & Technology
GW approximation,Main Concept,Natural Sciences
Advanced Causal Inference Techniques,Core Thematic Domain,Formal Sciences
Frequency scaling,Main Concept,Formal Sciences
Polymer degradation,Main Concept,Health & Medical Sciences
National accounts,Main Concept,Natural Sciences
Thymus vulgaris,Main Concept,Life Sciences
Typhoid fever,Main Concept,Health & Medical Sciences
Sulcus,Main Concept,Health & Medical Sciences
Human engineering,Main Concept,Engineering & Technology
photoperiodism,Main Concept,Life Sciences
Monotonic function,Main Concept,Formal Sciences
Personality disorders,Main Concept,Social Sciences & Humanities
Shape optimization,Main Concept,Engineering & Technology
Naphtha,Main Concept,Engineering & Technology
Surface science,Main Concept,Engineering & Technology
Femur,Main Concept,Health & Medical Sciences
Business ethics,Main Concept,Natural Sciences
Renal cell carcinoma treatment,Core Thematic Domain,Health & Medical Sciences
Logic family,Main Concept,Engineering & Technology
Chromosomal and Genetic Variations,Core Thematic Domain,Life Sciences
Sports injury,Main Concept,Health & Medical Sciences
Thermosphere,Main Concept,Natural Sciences
Impact of AI and Big Data on Business and Society,Core Thematic Domain,Social Sciences & Humanities
Bituminous coal,Main Concept,Engineering & Technology
CADASIL,Main Concept,Engineering & Technology
Food chain,Main Concept,Life Sciences
Exercise and Physiological Responses,Core Thematic Domain,Health & Medical Sciences
Cryptanalysis,Main Concept,Formal Sciences
Coda,Main Concept,Social Sciences
HPV infection,Main Concept,Health & Medical Sciences
Mammary gland,Main Concept,Life Sciences
Microtiter plate,Main Concept,Life Sciences
Acoustic Wave Resonator Technologies,Core Thematic Domain,Engineering & Technology
Diffusion equation,Main Concept,Health & Medical Sciences
Composite index,Main Concept,Social Sciences
Consumer behaviour,Main Concept,Social Sciences & Humanities
Functionally graded material,Main Concept,Engineering & Technology
Bremsstrahlung,Main Concept,Natural Sciences
CONTEST,Main Concept,Life Sciences
Coronation,Main Concept,Social Sciences & Humanities
Actinomycetales,Main Concept,Life Sciences
Logical reasoning,Main Concept,Social Sciences
Hexestrol,Main Concept,Health & Medical Sciences
Twist transcription factor,Main Concept,Life Sciences
Environmental Toxicology and Ecotoxicology,Core Thematic Domain,Natural Sciences
Skin Protection and Aging,Core Thematic Domain,Health & Medical Sciences
Agar dilution,Main Concept,Life Sciences
Management theory,Main Concept,Engineering & Technology
Plant use of endophytic fungi in defense,Main Concept,Life Sciences
Immunoglobulin superfamily,Main Concept,Formal Sciences
Wind engineering,Main Concept,Engineering & Technology
Yoke (aeronautics),Main Concept,Natural Sciences
Higgs boson,Main Concept,Social Sciences
Neoclassical economics,Main Concept,Social Sciences & Humanities
Geranium,Main Concept,Life Sciences
Anaerobic oxidation of methane,Main Concept,Natural Sciences
Character evolution,Main Concept,Life Sciences
"Health, Technology, Consumer Behavior",Core Thematic Domain,Health & Medical Sciences
Cosmos (plant),Main Concept,Social Sciences & Humanities
Analytical chemistry methods development,Core Thematic Domain,Natural Sciences
Modulo,Main Concept,Formal Sciences
Historical Studies in Central America,Core Thematic Domain,Social Sciences & Humanities
Systems Engineering Methodologies and Applications,Core Thematic Domain,Engineering & Technology
Walker motifs,Main Concept,Life Sciences
Agricultural Research and Practices,Core Thematic Domain,Life Sciences
Humanized mouse,Main Concept,Health & Medical Sciences
Cinema and Media Studies,Core Thematic Domain,Social Sciences & Humanities
Anus neoplasms,Main Concept,Health & Medical Sciences
Amalgam (chemistry),Main Concept,Health & Medical Sciences
Hyperglycemia and glycemic control in critically ill and hospitalized patients,Core Thematic Domain,Health & Medical Sciences
Airway,Main Concept,Health & Medical Sciences
Vector space,Main Concept,Formal Sciences
Invariant (physics),Main Concept,Formal Sciences
Prednisone,Main Concept,Life Sciences
sort,Main Concept,Formal Sciences
State socialism,Main Concept,Social Sciences & Humanities
Choline,Main Concept,Health & Medical Sciences
Mass flow,Main Concept,Engineering & Technology
Polity,Main Concept,Social Sciences & Humanities
Artificial Immune Systems Applications,Core Thematic Domain,Engineering & Technology
Phase Equilibria and Thermodynamics,Core Thematic Domain,Engineering & Technology
Flunarizine,Main Concept,Health & Medical Sciences
Bit error rate,Main Concept,Formal Sciences
Cell death mechanisms and regulation,Core Thematic Domain,Life Sciences
Rheumatology,Academic Subdiscipline,Health & Medical Sciences
Endotracheal tube,Main Concept,Health & Medical Sciences
Human–computer interaction,Main Concept,Social Sciences & Humanities
Vineland Adaptive Behavior Scale,Main Concept,Health & Medical Sciences
Matrix completion,Main Concept,Formal Sciences
Digital Transformation in Industry,Core Thematic Domain,Natural Sciences
Extremal black hole,Main Concept,Life Sciences
Tropomyosin receptor kinase A,Main Concept,Engineering & Technology
Arachidonic acid,Main Concept,Health & Medical Sciences
Juvenile dermatomyositis,Main Concept,Health & Medical Sciences
Rut,Main Concept,Engineering & Technology
Learning to rank,Main Concept,Formal Sciences
Blood oxygenation,Main Concept,Health & Medical Sciences
Number density,Main Concept,Natural Sciences
Apparent viscosity,Main Concept,Engineering & Technology
NP,Main Concept,Formal Sciences
Antigenic variation,Main Concept,Health & Medical Sciences
Electrodiagnosis,Main Concept,Health & Medical Sciences
Typography,Main Concept,Social Sciences & Humanities
Renal tumor,Main Concept,Health & Medical Sciences
Inverse agonist,Main Concept,Life Sciences
Electron affinity (data page),Main Concept,Natural Sciences
Big Bang nucleosynthesis,Main Concept,Natural Sciences
Genetic and Clinical Aspects of Sex Determination and Chromosomal Abnormalities,Core Thematic Domain,Health & Medical Sciences
Solid surface,Main Concept,Life Sciences
Sea ice,Main Concept,Health & Medical Sciences
Prostatic adenocarcinoma,Main Concept,Health & Medical Sciences
Choriocarcinoma,Main Concept,Health & Medical Sciences
Imaging science,Main Concept,Formal Sciences
Growth theory,Main Concept,Social Sciences & Humanities
Posterior probability,Main Concept,Formal Sciences
Regurgitation (circulation),Main Concept,Life Sciences
Continuous-time random walk,Main Concept,Formal Sciences
Electron precipitation,Main Concept,Natural Sciences
Iron-deficiency anemia,Main Concept,Health & Medical Sciences
Riemannian geometry,Main Concept,Formal Sciences
Inductance,Main Concept,Engineering & Technology
Neural tube,Main Concept,Health & Medical Sciences
Distributed algorithm,Main Concept,Formal Sciences
Inositol,Main Concept,Life Sciences
Mixed connective tissue disease,Main Concept,Health & Medical Sciences
Absorption spectroscopy,Main Concept,Engineering & Technology
Advanced Materials and Mechanics,Core Thematic Domain,Engineering & Technology
STAT2,Main Concept,Health & Medical Sciences
Atomoxetine,Main Concept,Social Sciences & Humanities
Nuclear force,Main Concept,Social Sciences & Humanities
Capitalism,Main Concept,Social Sciences & Humanities
Structural failure,Main Concept,Engineering & Technology
Plant Genetic and Mutation Studies,Core Thematic Domain,Life Sciences
Missile,Main Concept,Social Sciences
Phalloidin,Main Concept,Health & Medical Sciences
Density gradient,Main Concept,Social Sciences
Acceleration,Main Concept,Formal Sciences
Labour Market and Migration,Core Thematic Domain,Social Sciences
Illusion of control,Main Concept,Social Sciences & Humanities
Satellite,Main Concept,Formal Sciences
2019-20 coronavirus outbreak,Main Concept,Social Sciences & Humanities
Two-phase flow,Main Concept,Natural Sciences
Nanog Homeobox Protein,Main Concept,Health & Medical Sciences
Agrarian reform,Main Concept,Natural Sciences
Electronic control unit,Main Concept,Engineering & Technology
Variable-length code,Main Concept,Formal Sciences
Valaciclovir,Main Concept,Life Sciences
Cathodic arc deposition,Main Concept,Engineering & Technology
Scanning tunneling microscope,Main Concept,Engineering & Technology
Nevus of Ota,Main Concept,Health & Medical Sciences
Umberto Eco and Semiotics,Core Thematic Domain,Social Sciences & Humanities
Goal setting,Main Concept,Social Sciences & Humanities
Fair-share scheduling,Main Concept,Formal Sciences
Coherent spectroscopy,Main Concept,Life Sciences
Astronomer,Main Concept,Social Sciences
Multi-label classification,Main Concept,Formal Sciences
Forb,Main Concept,Life Sciences
Unified field theory,Main Concept,Health & Medical Sciences
Organic and Molecular Conductors Research,Core Thematic Domain,Engineering & Technology
Antenna measurement,Main Concept,Engineering & Technology
Land of Israel,Main Concept,Social Sciences & Humanities
Gene knockdown,Main Concept,Health & Medical Sciences
Moral development,Main Concept,Social Sciences & Humanities
Transmembrane protein,Main Concept,Health & Medical Sciences
Histiocytic Disorders and Treatments,Core Thematic Domain,Health & Medical Sciences
Forward algorithm,Main Concept,Formal Sciences
Anti-NMDA receptor encephalitis,Main Concept,Health & Medical Sciences
Climb,Main Concept,Engineering & Technology
Capital market,Main Concept,Social Sciences & Humanities
Heartbeat,Main Concept,Health & Medical Sciences
Human disease,Main Concept,Health & Medical Sciences
Ideal (ethics),Main Concept,Social Sciences & Humanities
Lysyl oxidase,Main Concept,Health & Medical Sciences
Artificial muscle,Main Concept,Engineering & Technology
Mastectomy,Main Concept,Health & Medical Sciences
Apical membrane,Main Concept,Life Sciences
Product lifecycle,Main Concept,Engineering & Technology
Historical Medical Research and Treatments,Core Thematic Domain,Health & Medical Sciences
Chimera (genetics),Main Concept,Life Sciences
Overburden pressure,Main Concept,Engineering & Technology
Enthalpy of mixing,Main Concept,Engineering & Technology
Digital elevation model,Main Concept,Formal Sciences
Diethylstilbestrol,Main Concept,Health & Medical Sciences
Creativity in Education and Neuroscience,Core Thematic Domain,Social Sciences & Humanities
Kaolinite,Main Concept,Engineering & Technology
Economic and Business Studies,Core Thematic Domain,Social Sciences & Humanities
Dependability,Main Concept,Formal Sciences
Sexual function,Main Concept,Social Sciences & Humanities
HER2/neu,Main Concept,Health & Medical Sciences
Growth Hormone and Insulin-like Growth Factors,Core Thematic Domain,Health & Medical Sciences
Educational Games and Gamification,Core Thematic Domain,Social Sciences & Humanities
Cascode,Main Concept,Engineering & Technology
Employment and Welfare Studies,Core Thematic Domain,Health & Medical Sciences
N400,Main Concept,Life Sciences
Logistic regression,Main Concept,Social Sciences & Humanities
Carboniferous,Main Concept,Social Sciences & Humanities
Unconventional oil,Main Concept,Engineering & Technology
Agriculture and Biological Studies,Core Thematic Domain,Life Sciences
